election_date,race,county,dem_candidate,rep_candidate,dem_votes,rep_votes,total_votes,source_url
2024-11-05,2024 Wisconsin Presidential,Adams,Kamala Harris,Donald Trump,4443,7763,12882,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Ashland,Kamala Harris,Donald Trump,4612,4191,8955,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Barron,Kamala Harris,Donald Trump,8941,16726,26809,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Bayfield,Kamala Harris,Donald Trump,6107,4860,11240,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Brown,Kamala Harris,Donald Trump,67937,79132,149333,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Buffalo,Kamala Harris,Donald Trump,2765,5213,8100,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Burnett,Kamala Harris,Donald Trump,3665,7008,10810,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Calumet,Kamala Harris,Donald Trump,12927,19488,32916,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Chippewa,Kamala Harris,Donald Trump,14573,23399,38471,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Clark,Kamala Harris,Donald Trump,4509,10481,15340,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Columbia,Kamala Harris,Donald Trump,16388,17988,34914,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Crawford,Kamala Harris,Donald Trump,3860,5113,9105,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Dane,Kamala Harris,Donald Trump,273995,85454,365929,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Dodge,Kamala Harris,Donald Trump,16518,33067,50300,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Door,Kamala Harris,Donald Trump,10565,10099,20944,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Douglas,Kamala Harris,Donald Trump,13073,11732,25234,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Dunn,Kamala Harris,Donald Trump,10643,14726,25678,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Eau Claire,Kamala Harris,Donald Trump,34400,27728,63177,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Florence,Kamala Harris,Donald Trump,783,2356,3158,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Fond Du Lac,Kamala Harris,Donald Trump,20495,37272,58527,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Forest,Kamala Harris,Donald Trump,1681,3382,5097,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Grant,Kamala Harris,Donald Trump,10966,15922,27306,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Green,Kamala Harris,Donald Trump,10903,10843,22076,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Green Lake,Kamala Harris,Donald Trump,3449,7458,11052,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Iowa,Kamala Harris,Donald Trump,7750,6631,14677,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Iron,Kamala Harris,Donald Trump,1487,2557,4084,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Jackson,Kamala Harris,Donald Trump,4157,6204,10502,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Jefferson,Kamala Harris,Donald Trump,20574,28771,50146,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Juneau,Kamala Harris,Donald Trump,4854,9525,14553,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Kenosha,Kamala Harris,Donald Trump,41826,47478,90680,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Kewaunee,Kamala Harris,Donald Trump,4059,8267,12484,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,La Crosse,Kamala Harris,Donald Trump,39008,32247,72261,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Lafayette,Kamala Harris,Donald Trump,3469,5256,8832,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Langlade,Kamala Harris,Donald Trump,3746,7782,11664,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Lincoln,Kamala Harris,Donald Trump,6306,10633,17209,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Manitowoc,Kamala Harris,Donald Trump,17399,28200,46316,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Marathon,Kamala Harris,Donald Trump,31529,46213,78826,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Marinette,Kamala Harris,Donald Trump,7415,16670,24415,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Marquette,Kamala Harris,Donald Trump,3252,6041,9427,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Menominee,Kamala Harris,Donald Trump,1266,296,1572,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Milwaukee,Kamala Harris,Donald Trump,316292,138022,464107,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Monroe,Kamala Harris,Donald Trump,8476,14563,23369,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Oconto,Kamala Harris,Donald Trump,6967,17675,24912,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Oneida,Kamala Harris,Donald Trump,10080,14455,24895,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Outagamie,Kamala Harris,Donald Trump,49438,60827,111932,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Ozaukee,Kamala Harris,Donald Trump,27874,34504,63472,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Pepin,Kamala Harris,Donald Trump,1523,2798,4354,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Pierce,Kamala Harris,Donald Trump,10171,14417,25392,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Polk,Kamala Harris,Donald Trump,9567,18296,28222,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Portage,Kamala Harris,Donald Trump,21503,20987,43258,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Price,Kamala Harris,Donald Trump,3005,5763,8856,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Racine,Kamala Harris,Donald Trump,49721,56347,107686,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Richland,Kamala Harris,Donald Trump,3985,5207,9323,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Rock,Kamala Harris,Donald Trump,46642,40218,88310,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Rusk,Kamala Harris,Donald Trump,2516,5660,8270,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Sauk,Kamala Harris,Donald Trump,18172,18798,37584,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Sawyer,Kamala Harris,Donald Trump,4599,6422,11140,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Shawano,Kamala Harris,Donald Trump,7336,15850,23500,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Sheboygan,Kamala Harris,Donald Trump,27735,38763,67562,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,St. Croix,Kamala Harris,Donald Trump,23870,35537,60642,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Taylor,Kamala Harris,Donald Trump,2823,8209,11186,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Trempealeau,Kamala Harris,Donald Trump,6219,9661,16079,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Vernon,Kamala Harris,Donald Trump,7514,8807,16609,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Vilas,Kamala Harris,Donald Trump,6119,9837,16135,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Walworth,Kamala Harris,Donald Trump,23161,36603,60597,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Washburn,Kamala Harris,Donald Trump,3867,6962,10978,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Washington,Kamala Harris,Donald Trump,28504,61604,91407,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Waukesha,Kamala Harris,Donald Trump,108478,162768,275787,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Waupaca,Kamala Harris,Donald Trump,9947,20093,30403,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Waushara,Kamala Harris,Donald Trump,4571,9625,14363,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Winnebago,Kamala Harris,Donald Trump,44660,49179,95371,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin Presidential,Wood,Kamala Harris,Donald Trump,16599,24997,42216,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_POTUS.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Adams,Tammy Baldwin,Eric Hovde,4806,7551,12759,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Ashland,Tammy Baldwin,Eric Hovde,4775,3844,8839,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Barron,Tammy Baldwin,Eric Hovde,9352,16462,26541,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Bayfield,Tammy Baldwin,Eric Hovde,6260,4697,11169,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Brown,Tammy Baldwin,Eric Hovde,67789,76722,147871,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Buffalo,Tammy Baldwin,Eric Hovde,2913,4898,8019,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Burnett,Tammy Baldwin,Eric Hovde,3730,6745,10731,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Calumet,Tammy Baldwin,Eric Hovde,12850,19075,32674,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Chippewa,Tammy Baldwin,Eric Hovde,14875,22189,38055,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Clark,Tammy Baldwin,Eric Hovde,4819,9917,15177,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Columbia,Tammy Baldwin,Eric Hovde,16753,17120,34624,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Crawford,Tammy Baldwin,Eric Hovde,4026,4761,9042,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Dane,Tammy Baldwin,Eric Hovde,273696,84762,363441,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Dodge,Tammy Baldwin,Eric Hovde,16819,31928,49895,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Door,Tammy Baldwin,Eric Hovde,10503,9942,20808,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Douglas,Tammy Baldwin,Eric Hovde,13119,11105,24889,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Dunn,Tammy Baldwin,Eric Hovde,10795,13983,25376,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Eau Claire,Tammy Baldwin,Eric Hovde,34382,26584,62389,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Florence,Tammy Baldwin,Eric Hovde,788,2272,3134,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Fond Du Lac,Tammy Baldwin,Eric Hovde,20777,35909,58039,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Forest,Tammy Baldwin,Eric Hovde,1853,3200,5191,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Grant,Tammy Baldwin,Eric Hovde,11300,14995,26910,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Green,Tammy Baldwin,Eric Hovde,11188,10280,21934,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Green Lake,Tammy Baldwin,Eric Hovde,3592,7138,10986,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Iowa,Tammy Baldwin,Eric Hovde,7946,6323,14566,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Iron,Tammy Baldwin,Eric Hovde,1513,2445,4036,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Jackson,Tammy Baldwin,Eric Hovde,4314,5764,10401,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Jefferson,Tammy Baldwin,Eric Hovde,20631,28005,49689,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Juneau,Tammy Baldwin,Eric Hovde,4991,8993,14436,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Kenosha,Tammy Baldwin,Eric Hovde,41946,45165,89598,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Kewaunee,Tammy Baldwin,Eric Hovde,4254,7869,12378,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,La Crosse,Tammy Baldwin,Eric Hovde,39268,30746,71615,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Lafayette,Tammy Baldwin,Eric Hovde,3763,4838,8768,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Langlade,Tammy Baldwin,Eric Hovde,3830,7444,11558,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
2024-11-05,2024 Wisconsin U.S. Senate,Lincoln,Tammy Baldwin,Eric Hovde,6572,10119,17092,https://elections.wi.gov/sites/default/files/documents/County%20by%20County%20Report_US%20Senate_1.pdf
